User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
Tatianita75020,2021-08-26 20:46:38+00:00,1430995121886179329,11,0,6,Twitter for iPhone,20286,12916,,0,en,@upsideshib @bitforexcom Let’s go #SHIBARMY 🔥 Let’s show the world our strenght 💪🏼🧡 #SHIB #ShibaSwap https://t.co/qeDjkNg1kb,"['UPSIDE PAWSITIVITY: 🏆#SHIBARMY🏆  🟢 $SHIB has entered into the @bitforexcom final round against babydoge !   We got this my friends! 🔥  Here’s a video that walks you through the competition details: https://t.co/cL2Pne91zp  Feel free to share this message with all #SHIB social channels 🚀 https://t.co/3ESYHvXlXG', '𝒯𝒶𝓉𝒾𝒶𝓃𝒾𝓉𝒶 ℰ.ℬ.: @upsideshib @bitforexcom Let’s go #SHIBARMY 🔥 Let’s show the world our strenght 💪🏼🧡 #SHIB #ShibaSwap https://t.co/qeDjkNg1kb']",1430978315393904647
SamuraiShiba,2021-08-26 20:16:48+00:00,1430987614450974722,6,0,3,Twitter for iPhone,16918,17842,,0,en,@upsideshib @shibainuart @bitforexcom Good job @upsideshib We are the BEST Crypto GLOBAL ARMY the World has EVER KNOWN!! $SHIB #LFG https://t.co/XbjHV68Pas,"['UPSIDE PAWSITIVITY: 🏆#SHIBARMY🏆  🟢 $SHIB has entered into the @bitforexcom final round against babydoge !   We got this my friends! 🔥  Here’s a video that walks you through the competition details: https://t.co/cL2Pne91zp  Feel free to share this message with all #SHIB social channels 🚀 https://t.co/3ESYHvXlXG', 'SHIBA SAMURAI⚔️: @upsideshib @shibainuart @bitforexcom Good job @upsideshib We are the BEST Crypto GLOBAL ARMY the World has EVER KNOWN!! $SHIB #LFG https://t.co/XbjHV68Pas']",1430978315393904647
UpsideVision,2021-08-26 19:44:13+00:00,1430979414154690562,13,1,6,Twitter for iPhone,120787,21222,,0,en,Please share/RT ☀️😃🙌💎  @shibainuart @ShibInformer @army_shiba @ShytoshiKusama @Shibtoken @RyoshiResearch   #SHIBARMY #SHIB $SHIB #SHIBCARES #SHIBWORLD #USESHIBASWAP #ShibToTheMoon,"['UPSIDE PAWSITIVITY: 🏆#SHIBARMY🏆  🟢 $SHIB has entered into the @bitforexcom final round against babydoge !   We got this my friends! 🔥  Here’s a video that walks you through the competition details: https://t.co/cL2Pne91zp  Feel free to share this message with all #SHIB social channels 🚀 https://t.co/3ESYHvXlXG', 'UPSIDE PAWSITIVITY: Please share/RT ☀️😃🙌💎  @shibainuart @ShibInformer @army_shiba @ShytoshiKusama @Shibtoken @RyoshiResearch   #SHIBARMY #SHIB $SHIB #SHIBCARES #SHIBWORLD #USESHIBASWAP #ShibToTheMoon']",1430978315393904647
Envision_Boy_DD,2021-08-27 00:35:57+00:00,1431052832715665413,0,0,0,Twitter for Android,9771,259,,0,en,@BitMartExchange @Shibtoken @DaddyDOGEtoken @dogecoin @MiniDOGEToken @AKITA_network @BabyDogeCoin @NanoDogeCoin Doge &amp; shib,"['BitMart.Exchange: 🎉 Celebrate National Dog Day with Bitmart! 🐶  ✍️Comment below to let us know what your favorite dog token is! 😍  #BitMart #nationaldogday #dogday #dog #token #crypto #cryptocurrency #Bitcoin #Ethereum $BMX $BTC $DOGE $SHIB https://t.co/QR1o8TZWsN', 'Drx dibya dipan patel: @BitMartExchange @Shibtoken @DaddyDOGEtoken @dogecoin @MiniDOGEToken @AKITA_network @BabyDogeCoin @NanoDogeCoin Doge &amp; shib']",1430940209592602624
ElecMonim,2021-08-26 17:27:25+00:00,1430944987102027784,0,0,0,Twitter for Android,43908,196,,0,en,@BitMartExchange @Shibtoken @DaddyDOGEtoken @dogecoin @MiniDOGEToken @AKITA_network @BabyDogeCoin @NanoDogeCoin Only $SHIB,"['BitMart.Exchange: 🎉 Celebrate National Dog Day with Bitmart! 🐶  ✍️Comment below to let us know what your favorite dog token is! 😍  #BitMart #nationaldogday #dogday #dog #token #crypto #cryptocurrency #Bitcoin #Ethereum $BMX $BTC $DOGE $SHIB https://t.co/QR1o8TZWsN', 'ADONIS 🕸: @BitMartExchange @Shibtoken @DaddyDOGEtoken @dogecoin @MiniDOGEToken @AKITA_network @BabyDogeCoin @NanoDogeCoin Only $SHIB']",1430940209592602624
cryptoexelance,2021-08-26 17:19:46+00:00,1430943061115392005,1,1,0,Twitter for Android,2913,440,,0,en,@BitMartExchange @Shibtoken @DaddyDOGEtoken @dogecoin @MiniDOGEToken @AKITA_network @BabyDogeCoin @NanoDogeCoin Of course #Shiba #Shib ☺️ all animals are special 🙏🏼,"['BitMart.Exchange: 🎉 Celebrate National Dog Day with Bitmart! 🐶  ✍️Comment below to let us know what your favorite dog token is! 😍  #BitMart #nationaldogday #dogday #dog #token #crypto #cryptocurrency #Bitcoin #Ethereum $BMX $BTC $DOGE $SHIB https://t.co/QR1o8TZWsN', 'ℂ𝕣𝕪𝕡𝕥𝕠 𝔼𝕩𝕖𝕝𝕒𝕟𝕔𝕖: @BitMartExchange @Shibtoken @DaddyDOGEtoken @dogecoin @MiniDOGEToken @AKITA_network @BabyDogeCoin @NanoDogeCoin Of course #Shiba #Shib ☺️ all animals are special 🙏🏼']",1430940209592602624
FoxRelaxed,2021-08-26 17:09:10+00:00,1430940395144237056,1,0,0,Twitter for Android,14054,470,,0,en,@BitMartExchange @Shibtoken @DaddyDOGEtoken @dogecoin @MiniDOGEToken @AKITA_network @BabyDogeCoin @NanoDogeCoin SHIB of course,"['BitMart.Exchange: 🎉 Celebrate National Dog Day with Bitmart! 🐶  ✍️Comment below to let us know what your favorite dog token is! 😍  #BitMart #nationaldogday #dogday #dog #token #crypto #cryptocurrency #Bitcoin #Ethereum $BMX $BTC $DOGE $SHIB https://t.co/QR1o8TZWsN', 'hawkman: @BitMartExchange @Shibtoken @DaddyDOGEtoken @dogecoin @MiniDOGEToken @AKITA_network @BabyDogeCoin @NanoDogeCoin SHIB of course']",1430940209592602624
Abhijeet8672,2021-08-27 09:15:22+00:00,1431183547994308611,0,0,0,Twitter for Android,5935,407,,0,en,@VOICEOFSHIBA @CoinbasePro @CoinbaseSupport We want $SHIB make it happen #listentoshibarmy,"[""💞BABYDOGE 💞: Every 5 hours I am asking @CoinbasePro to list #SHIB who is with me let's come with me #SHIBARMY #Crypto #Bitcoin @CoinbaseSupport stop monopoly against #SHIB https://t.co/Tu1IqCpFFm"", 'Abhijeet: @VOICEOFSHIBA @CoinbasePro @CoinbaseSupport We want $SHIB make it happen #listentoshibarmy']",1430926470319419394
Kunalgu63741378,2021-08-27 06:10:36+00:00,1431137047759048704,0,0,0,Twitter for Android,56,49,,0,en,@VOICEOFSHIBA @CoinbasePro @CoinbaseSupport @VOICEOFSHIBA @CoinbasePro @ShibInformer @CoinbaseSupport plz listed shib inu,"[""💞BABYDOGE 💞: Every 5 hours I am asking @CoinbasePro to list #SHIB who is with me let's come with me #SHIBARMY #Crypto #Bitcoin @CoinbaseSupport stop monopoly against #SHIB https://t.co/Tu1IqCpFFm"", 'Kunal gupta: @VOICEOFSHIBA @CoinbasePro @CoinbaseSupport @VOICEOFSHIBA @CoinbasePro @ShibInformer @CoinbaseSupport plz listed shib inu']",1430926470319419394
vickysachin2010,2021-08-29 02:09:26+00:00,1431801132947365890,0,0,0,Twitter for Android,218,8,,0,en,@ShibainuCoin Fuck Doge and shib... Invest in good coins...,"['Shiba Inu: $SHIB and #Dogecoin consolidating!  Are you ready to buy the dip?  https://t.co/SUS0era4Zp', 'vicky Mishra: @ShibainuCoin Fuck Doge and shib... Invest in good coins...']",1430908395914072078
