User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
PhngHongTr1,2021-08-08 09:09:10+00:00,1424296617750843393,0,0,0,Twitter for iPhone,463,11,,0,en,@cryptohighnft Tomorow shib price Down again!!!up by Fomo after that Down and Down#Burnnnnnn Morrreeeee,"['Crypto High: $SHIB volume 👀', 'Coin-Asia: @cryptohighnft Tomorow shib price Down again!!!up by Fomo after that Down and Down#Burnnnnnn Morrreeeee']",1424154218299117568
samse1234,2021-08-08 05:35:29+00:00,1424242843892162560,0,0,0,Twitter for Android,347,56,,0,en,@onanoctupus Shib will dead because shiborium ryoshi   leash bone tokens are making more,"['th3cryptologist.eth 漁師: A reminder that $SHIB is still up 450,790% on its YTD ROI…and only down approximately 80% from its ATH…  $SHIB was never dead and never will be!    💎👏’s know what’s up.', 'samse: @onanoctupus Shib will dead because shiborium ryoshi   leash bone tokens are making more']",1424146507549270016
Whonose519,2021-08-08 04:15:40+00:00,1424222758041440257,1,0,0,Twitter Web App,1601,60,,0,en,"@onanoctupus been on shib since the jump, bags were getting so heavy i had to drop a lil bit, dropped it right into @SNAFUKU  to help some people in the real world... making money there to... go check it out","['th3cryptologist.eth 漁師: A reminder that $SHIB is still up 450,790% on its YTD ROI…and only down approximately 80% from its ATH…  $SHIB was never dead and never will be!    💎👏’s know what’s up.', 'Whonose!?: @onanoctupus been on shib since the jump, bags were getting so heavy i had to drop a lil bit, dropped it right into @SNAFUKU  to help some people in the real world... making money there to... go check it out']",1424146507549270016
FistMagik,2021-08-08 13:34:45+00:00,1424363453012008961,0,0,0,Twitter for Android,1611,686,,0,en,@Yourpop8 @ShytoshiKusama Let's go shib and saita,"['YourPOP: #SHIBARMY JOIN ME LIVE TONIGHT TO GET SOME OF THE ANSWERS TO YOUR QUESTIONS FROM @ShytoshiKusama!!! #SHIB #LEASH #BONE  Teaser: 6 figure burn incoming 😵😵😵🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀💎💎💎💎💎🙌🏾🙌🏾🙌🏾🔥🔥🔥🔥🔥🔥🔥', ""MrX - Crypto lover: @Yourpop8 @ShytoshiKusama Let's go shib and saita""]",1424145643287818246
ImRakes71255384,2021-08-08 02:32:33+00:00,1424196805143580681,0,0,0,Twitter for Android,2759,50,,0,en,"@Yourpop8 @ShytoshiKusama 6 figure,...??? Even coin which has less than 1 billion supply ,they r burning 8 figures ,. 6 figure burn for #shib will do nothing","['YourPOP: #SHIBARMY JOIN ME LIVE TONIGHT TO GET SOME OF THE ANSWERS TO YOUR QUESTIONS FROM @ShytoshiKusama!!! #SHIB #LEASH #BONE  Teaser: 6 figure burn incoming 😵😵😵🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀💎💎💎💎💎🙌🏾🙌🏾🙌🏾🔥🔥🔥🔥🔥🔥🔥', 'Rakesh 💵: @Yourpop8 @ShytoshiKusama 6 figure,...??? Even coin which has less than 1 billion supply ,they r burning 8 figures ,. 6 figure burn for #shib will do nothing']",1424145643287818246
MahirSaad1,2021-08-07 23:34:07+00:00,1424151902661578754,0,0,0,Twitter for Android,2237,318,,0,en,"@Yourpop8 @shibainuart @ShytoshiKusama Who is selling 500k shib every second, gradual rug pull ?😉 https://t.co/e29BQROlyB","['YourPOP: #SHIBARMY JOIN ME LIVE TONIGHT TO GET SOME OF THE ANSWERS TO YOUR QUESTIONS FROM @ShytoshiKusama!!! #SHIB #LEASH #BONE  Teaser: 6 figure burn incoming 😵😵😵🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀💎💎💎💎💎🙌🏾🙌🏾🙌🏾🔥🔥🔥🔥🔥🔥🔥', 'X📐🎯: @Yourpop8 @shibainuart @ShytoshiKusama Who is selling 500k shib every second, gradual rug pull ?😉 https://t.co/e29BQROlyB']",1424145643287818246
WilliamChijiok3,2021-08-07 23:12:08+00:00,1424146371028955142,18,1,2,Twitter for Android,695,89,,0,en,@Yourpop8 @ShytoshiKusama Am on bed about to sleep now from Milan Italy. #ShibArmy. I will watch the video later......#Shib is going to 74.......it keeps climbing. Let's go to the moon #ShibaArmy.🚀🚀🚀🚀❤❤❤❤❤❤❤👨‍💻👨‍💻👨‍💻👨‍💻,"['YourPOP: #SHIBARMY JOIN ME LIVE TONIGHT TO GET SOME OF THE ANSWERS TO YOUR QUESTIONS FROM @ShytoshiKusama!!! #SHIB #LEASH #BONE  Teaser: 6 figure burn incoming 😵😵😵🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀💎💎💎💎💎🙌🏾🙌🏾🙌🏾🔥🔥🔥🔥🔥🔥🔥', ""William Chijioke: @Yourpop8 @ShytoshiKusama Am on bed about to sleep now from Milan Italy. #ShibArmy. I will watch the video later......#Shib is going to 74.......it keeps climbing. Let's go to the moon #ShibaArmy.🚀🚀🚀🚀❤❤❤❤❤❤❤👨\u200d💻👨\u200d💻👨\u200d💻👨\u200d💻""]",1424145643287818246
YaATM1,2021-08-07 23:09:52+00:00,1424145799156490245,2,1,0,Twitter for iPhone,553,42,,0,en,@Yourpop8 @ShytoshiKusama 152M SHIB HERE!!! And yay!!!,"['YourPOP: #SHIBARMY JOIN ME LIVE TONIGHT TO GET SOME OF THE ANSWERS TO YOUR QUESTIONS FROM @ShytoshiKusama!!! #SHIB #LEASH #BONE  Teaser: 6 figure burn incoming 😵😵😵🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀💎💎💎💎💎🙌🏾🙌🏾🙌🏾🔥🔥🔥🔥🔥🔥🔥', 'RankPa: @Yourpop8 @ShytoshiKusama 152M SHIB HERE!!! And yay!!!']",1424145643287818246
ImWobbie,2021-08-08 02:54:35+00:00,1424202349044699141,0,0,0,Twitter for iPhone,32155,3017,,0,en,@ShibInformer Are there any Shib-related nft based video-games in the interest? Aka defi gaming,"['SHIB INFORMER: Green or Red candles? No matter the color, the SHIB team never stops moving forward towards a goal of a powerful DeFi ecosystem for the #SHIBARMY.  Interesting news soon!   Gif semi related 😉 https://t.co/nq9BC9YejF', 'ser Robbie ▁ ▂ ▃ ▅ ▆ ▇ .SSOW: @ShibInformer Are there any Shib-related nft based video-games in the interest? Aka defi gaming']",1424115646783279106
mohamma21700220,2021-08-08 00:19:48+00:00,1424163397248110594,1,0,0,Twitter for Android,144,26,,0,en,@ShibInformer shib inu will burn and will listing in coinbase  the doge coin raising  where is doge killer,"['SHIB INFORMER: Green or Red candles? No matter the color, the SHIB team never stops moving forward towards a goal of a powerful DeFi ecosystem for the #SHIBARMY.  Interesting news soon!   Gif semi related 😉 https://t.co/nq9BC9YejF', 'mohammad almomani: @ShibInformer shib inu will burn and will listing in coinbase  the doge coin raising  where is doge killer']",1424115646783279106
