User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
DianaStark101,2021-01-04 04:36:41+00:00,1345952265274761222,1,0,0,Twitter for Android,4402,65,,0,en,@NetNobody Wait doge coin is still a thing?,"['Sky (Adam): Everytime a Team Crafted Member Argues on Twitter, Doge Coin goes down a third of a cent.', 'Diana Stark 🏳️\u200d⚧️ #BlackLivesMatter: @NetNobody Wait doge coin is still a thing?']",1345793297562828800
TannerDzzz,2021-01-04 15:57:48+00:00,1346123674634522624,0,0,0,Twitter for Android,2842,122,,0,en,@Investingcom Anybody wanting to get in in #dogecoin and also get a free stock? Use this link and sign up free. Trade ETH/Bitcoin and Doge! https://t.co/eVfLhXMWVK,"['Investing.com: *DOGECOIN RALLIES TO NEW ALL-TIME HIGH 🚀🚀  #DOGE #DOGECOIN https://t.co/7RY9FG7fIE', 'Tanner Dzula: @Investingcom Anybody wanting to get in in #dogecoin and also get a free stock? Use this link and sign up free. Trade ETH/Bitcoin and Doge! https://t.co/eVfLhXMWVK']",1345782657708392448
CEOGHOST_,2021-01-03 17:23:28+00:00,1345782843985813506,0,0,0,Twitter for iPhone,943,30,,0,qme,@Investingcom $doge #dogecoin,"['Investing.com: *DOGECOIN RALLIES TO NEW ALL-TIME HIGH 🚀🚀  #DOGE #DOGECOIN https://t.co/7RY9FG7fIE', 'CEO Ghost: @Investingcom $doge #dogecoin']",1345782657708392448
SHM_Q,2021-01-03 16:25:25+00:00,1345768234989961221,2,1,0,Twitter for Android,31290,516,,0,en,@MustacheTommy Yeh.. Let's be ready with Bags #Altseason2021 #ALTSEASON #Bitcoin #ETH #Doge,"['Tommy Mustache: Over the years I have noticed most alt season started as follow:  1.  #btc pumps first.    2.  $Doge coin pumps next.  Leading indicator of Alt Season   3.  $ETH and $LTC pumps next  4.  Big marketcap tokens next .  Usually top 20 on CMC  5.  Then full blown Alt Season', ""SHMQ: @MustacheTommy Yeh.. Let's be ready with Bags #Altseason2021 #ALTSEASON #Bitcoin #ETH #Doge""]",1345767673615982592
aleebaba101,2021-01-04 06:46:17+00:00,1345984881537511424,4,2,1,Twitter for Android,20981,3545,,0,en,"@bitcoinzay I have two @AtomicWallet accounts, lost the password to one before opening this new one, I need to recover the old one to see if I kept some $Doge there 😭","['No 🔑 No 🧀: I had at least 50 million DOGE on an old laptop, I’m about to go look for it TODAY 😂😂', 'Aleebaba.sol (王): @bitcoinzay I have two @AtomicWallet accounts, lost the password to one before opening this new one, I need to recover the old one to see if I kept some $Doge there 😭']",1345737258809360384
Jon_Arch_BTC,2021-01-03 21:26:54+00:00,1345844107038568448,2,0,1,Twitter for iPhone,1595,282,,0,en,"@bitcoinzay Do you guys own any $DOGE?  -&gt; For more crypto polls, follow, like and retweet! 🙏 &lt;- 🔴🟡🟢 #crypto #cryptopolls #BTC #bitcoin #bitcoinpolls #marketsentiment 🔴🟡🟢","['No 🔑 No 🧀: I had at least 50 million DOGE on an old laptop, I’m about to go look for it TODAY 😂😂', '⚡️🟠⚡️Btc Polls⚡️🟠⚡️: @bitcoinzay Do you guys own any $DOGE?  -&gt; For more crypto polls, follow, like and retweet! 🙏 &lt;- 🔴🟡🟢 #crypto #cryptopolls #BTC #bitcoin #bitcoinpolls #marketsentiment 🔴🟡🟢']",1345737258809360384
RealKingSimba11,2021-01-03 14:31:43+00:00,1345739624119996440,1,0,0,Twitter for iPhone,54641,9894,,0,en,@bitcoinzay Doge firing up?,"['No 🔑 No 🧀: I had at least 50 million DOGE on an old laptop, I’m about to go look for it TODAY 😂😂', 'The Son 🤴🏿🦁: @bitcoinzay Doge firing up?']",1345737258809360384
_opt1mu5,2021-01-04 10:04:33+00:00,1346034776940150784,2,0,0,Twitter Web App,619,92,,0,en,@CryptoKaleo I added another 1k USD in $doge on this dip see me shine when I tripple my stimulus #dgc #dogecoin https://t.co/zC2j7qVLAB,"['K A L E O: $DOGE looks ready to make the move to 2 cents.', 'Optimus Trade: @CryptoKaleo I added another 1k USD in $doge on this dip see me shine when I tripple my stimulus #dgc #dogecoin https://t.co/zC2j7qVLAB']",1345692722015969282
fairtalksquare,2021-01-03 18:28:57+00:00,1345799324152836096,1,2,0,Twitter for iPhone,533,27,,0,en,"@CryptoKaleo Given that Doge can have unlimited supply, why would it go up?","['K A L E O: $DOGE looks ready to make the move to 2 cents.', 'Fairtalksquare: @CryptoKaleo Given that Doge can have unlimited supply, why would it go up?']",1345692722015969282
heydavidlee,2021-01-03 17:56:37+00:00,1345791189950341122,3,2,0,Twitter for Android,1956,374,,0,en,@CryptoKaleo When would $DOGE be out of control?  25 cents?,"['K A L E O: $DOGE looks ready to make the move to 2 cents.', 'David Lee: @CryptoKaleo When would $DOGE be out of control?  25 cents?']",1345692722015969282
