User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
Danny66614133,2021-08-25 08:32:02+00:00,1430447867085217793,0,0,0,Twitter for Android,114,2,,0,en,"@THESHIBONE Of Course, Shib is The Boss of MeMe!  https://t.co/tBXFap7dJx","['Ester Metas: I seriously believe $SHIB will reach $0.001 by EOY', 'Golden Finger: @THESHIBONE Of Course, Shib is The Boss of MeMe!  https://t.co/tBXFap7dJx']",1430277090847469571
joshwallace9696,2021-08-25 07:06:18+00:00,1430426289744273409,0,0,0,Twitter for iPhone,139,12,,0,en,"@THESHIBONE Can you please explain your logical reasons as to how it would do that? I’m a Shib holder and have been since it was listed on Binance, just curious as to how you come to that conclusion? Not hating as I’d love for that to happen, just don’t see how it will by EOY","['Ester Metas: I seriously believe $SHIB will reach $0.001 by EOY', 'Joshua Wallace: @THESHIBONE Can you please explain your logical reasons as to how it would do that? I’m a Shib holder and have been since it was listed on Binance, just curious as to how you come to that conclusion? Not hating as I’d love for that to happen, just don’t see how it will by EOY']",1430277090847469571
pdreal1,2021-08-25 00:02:26+00:00,1430319622046162952,1,0,0,Twitter for iPhone,10855,164,,0,en,@THESHIBONE $SHIB OPTIMISTIC,"['Ester Metas: I seriously believe $SHIB will reach $0.001 by EOY', 'me✳️: @THESHIBONE $SHIB OPTIMISTIC']",1430277090847469571
TysonnPortsmou2,2021-08-25 11:25:03+00:00,1430491408733937667,0,0,0,Twitter for iPhone,294,12,,0,en,@army_shiba @SkipTheBeatz The Shib Collection,"['$SHIB KNIGHT: Only positive vibes and new ATH for $SHIB! 🐶🔥  #FudFreeZone https://t.co/WPDpSBBmHe', 'Tysonn Portsmouth: @army_shiba @SkipTheBeatz The Shib Collection']",1430262227928551435
fukki123,2021-08-25 10:16:48+00:00,1430474231574315013,1,1,0,Twitter for Android,356,6,,0,en,@army_shiba @SkipTheBeatz Unfortunately I sold all my shib in huge loss such a disappointment shiba devs behaviour,"['$SHIB KNIGHT: Only positive vibes and new ATH for $SHIB! 🐶🔥  #FudFreeZone https://t.co/WPDpSBBmHe', 'pandya (fukki): @army_shiba @SkipTheBeatz Unfortunately I sold all my shib in huge loss such a disappointment shiba devs behaviour']",1430262227928551435
jaysmooth_shib,2021-08-24 22:50:30+00:00,1430301518620762121,0,0,0,Twitter for Android,67922,544,,0,en,@army_shiba @SkipTheBeatz I like this one skip solid (batman voice),"['$SHIB KNIGHT: Only positive vibes and new ATH for $SHIB! 🐶🔥  #FudFreeZone https://t.co/WPDpSBBmHe', 'shibJaysmooth #SaitaRealty: @army_shiba @SkipTheBeatz I like this one skip solid (batman voice)']",1430262227928551435
SkipTheBeatz,2021-08-24 20:23:44+00:00,1430264581977481227,3,0,0,Twitter for iPhone,1878,1240,,0,en,@army_shiba Thats a pretty cool #SHIB #NFT you got there!😁😏,"['$SHIB KNIGHT: Only positive vibes and new ATH for $SHIB! 🐶🔥  #FudFreeZone https://t.co/WPDpSBBmHe', 'The SHIB Collection: @army_shiba Thats a pretty cool #SHIB #NFT you got there!😁😏']",1430262227928551435
nopstocks,2021-08-26 01:15:29+00:00,1430700394888503302,0,0,0,Twitter for Android,2323,37,,0,en,@DelCrxpto We now need to have $shib listed on @RobinhoodApp @coinbase and many more platforms!!!,"['Del Crxpto: ICO Analytics conducted a study and found $SHIB to be the third most talked about crypto globally, behind only $BTC &amp; $ETH!!!', 'nopstocks: @DelCrxpto We now need to have $shib listed on @RobinhoodApp @coinbase and many more platforms!!!']",1430238567134072832
OtterShib,2021-08-25 15:31:10+00:00,1430553345148739587,0,0,0,Twitter for Android,4916,249,,0,en,"@DelCrxpto Talk is worth $ just not in my shib wallet or token value, rewards etc......","['Del Crxpto: ICO Analytics conducted a study and found $SHIB to be the third most talked about crypto globally, behind only $BTC &amp; $ETH!!!', 'Asp Ounder: @DelCrxpto Talk is worth $ just not in my shib wallet or token value, rewards etc......']",1430238567134072832
Gerald4Crypto,2021-08-25 01:56:09+00:00,1430348238016716801,9,0,4,Twitter for iPhone,16142,1274,,0,en,@DelCrxpto Shiba is definitely on the FedEx train 🚆 to disrupt and transform the crypto currency like never before! Shib train 🚊 is moving on digital tracks so you better get your ticket 🎫 before you get left behind! #SHIB #SHIBARMY #ShibToTheMoon #ShibTrain,"['Del Crxpto: ICO Analytics conducted a study and found $SHIB to be the third most talked about crypto globally, behind only $BTC &amp; $ETH!!!', 'Gerald 🏡🧱 #SaitaRealty: @DelCrxpto Shiba is definitely on the FedEx train 🚆 to disrupt and transform the crypto currency like never before! Shib train 🚊 is moving on digital tracks so you better get your ticket 🎫 before you get left behind! #SHIB #SHIBARMY #ShibToTheMoon #ShibTrain']",1430238567134072832
Fckslpotion,2021-08-25 01:38:41+00:00,1430343842251743232,0,0,0,Twitter for Android,681,7,,0,en,@DelCrxpto Doge is the best shib just following doge,"['Del Crxpto: ICO Analytics conducted a study and found $SHIB to be the third most talked about crypto globally, behind only $BTC &amp; $ETH!!!', 'Amazing MBOX: @DelCrxpto Doge is the best shib just following doge']",1430238567134072832
