User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
Doge_Wisdom,2021-12-19 18:59:55+00:00,1472642870834343942,1,1,0,Twitter for Android,4482,1136,,0,en,"@Parzival571 @WSJ I wouldn't be surprised if that were the case, unfortunately 🤦 can't wait until the blockchain makes bribes and secret deals impossible! It won't be too long, but until then, we just have to buy, hodl, and do our due diligence 🧑‍🏫","['Doge of Wisdom: R.I.P. @WSJ, I hardly knew you', ""Doge of Wisdom: This is by far my best performing tweet somehow, so I'll say this: as I have learned, @WSJ is not owned by Citadel; Citadel owns approximately 1.4 Mil shares, whereas News Corps' float is approximately ~600 Mil."", 'Parzival57 🇺🇸🏴\u200d☠️: @Doge_Wisdom @WSJ Bingo. But Kat blocked me for pointing this out.  I suspect some palms at WSJ were greased directly for this article, but I have no evidence other than the article itself.', ""Doge of Wisdom: @Parzival571 @WSJ I wouldn't be surprised if that were the case, unfortunately 🤦 can't wait until the blockchain makes bribes and secret deals impossible! It won't be too long, but until then, we just have to buy, hodl, and do our due diligence 🧑\u200d🏫""]",1472333488531595269
Dilton1995,2021-12-19 06:31:02+00:00,1472454406805221377,0,1,0,Twitter for Android,425,10,,0,en,@SafemoonWarrior @CryptoRank_io Shib and doge is here only because of elon musk,"['🔥SafeMoonWarrior: #SAFEMOON is Top #7 coin mentioned on Twitter this week:  $BTC 2,180,219 $ETH 512,627 $CAKE 473,021 $SHIB 322,017 $DOGE 311,533 $XTZ 282,807 #SAFEMOON 196,774 🔥  $HAM 166,227 $BSCS 140,461 $ADA 139,985  Via @CryptoRank_io', 'Dilton: @SafemoonWarrior @CryptoRank_io Shib and doge is here only because of elon musk']",1472332064263446533
Apfelsuft,2021-12-19 20:36:29+00:00,1472667173432741890,0,0,0,Twitter for Android,77,1,,0,en,@TOPDOGE007 How much $Doge for a pizza?,"['𝓣 𝓞 𝓟 𝓓 𝓞 𝓖 𝓔 🪬: IT COSTS O $DOGE TO BE NICE!! 😇', 'Apfelsuft: @TOPDOGE007 How much $Doge for a pizza?']",1472312295015563266
englunkm24,2021-12-18 21:01:05+00:00,1472310977035071488,1,0,0,Twitter Web App,575,184,,0,en,@TNAKirsh grinch doge,"['Kirsh: Doge. Marbles in 45min :) https://t.co/lhpZFyWFAu', 'englunkm24: @TNAKirsh grinch doge']",1472307937066598410
discordisht,2021-12-18 20:53:18+00:00,1472309016550334469,1,0,0,Twitter for iPhone,4380,407,,0,en,@TNAKirsh Doge is a cute dog.,"['Kirsh: Doge. Marbles in 45min :) https://t.co/lhpZFyWFAu', 'discordisht (Right-Of-Game): @TNAKirsh Doge is a cute dog.']",1472307937066598410
Barrypaps,2021-12-18 20:49:29+00:00,1472308055392100361,3,0,0,Twitter for iPhone,1006,31,,0,en,@TNAKirsh Yes doge wanna WL :) https://t.co/kqBtQeCQlY,"['Kirsh: Doge. Marbles in 45min :) https://t.co/lhpZFyWFAu', '.: @TNAKirsh Yes doge wanna WL :) https://t.co/kqBtQeCQlY']",1472307937066598410
xcvrwdf,2021-12-18 20:09:49+00:00,1472298074856845317,0,1,0,Twitter Web App,277,87,,0,en,@MariusCrypt0 Do you still confident that Doge will goes $1? Looking at the chart doge keeps getting lower.,"['James Bull: $LUNA now overtaking Elon Musks’s protégé $DOGE and back in the Top10 again! :)', 'Zhar: @MariusCrypt0 Do you still confident that Doge will goes $1? Looking at the chart doge keeps getting lower.']",1472295475680268294
GeryRodriguez73,2021-12-18 21:24:53+00:00,1472316964643221512,1,0,0,Twitter for iPhone,10604,223,,0,en,@aznble @MariusCrypt0 Confidence or no confidence it is already quite uncertain. But $DOGE has lost popularity. $DeFi is in now. Social influence fades away. Many DOGE people never came back after #SNL,"['James Bull: $LUNA now overtaking Elon Musks’s protégé $DOGE and back in the Top10 again! :)', 'Zhar: @MariusCrypt0 Do you still confident that Doge will goes $1? Looking at the chart doge keeps getting lower.', 'Gery73: @aznble @MariusCrypt0 Confidence or no confidence it is already quite uncertain. But $DOGE has lost popularity. $DeFi is in now. Social influence fades away. Many DOGE people never came back after #SNL']",1472295475680268294
_JBRP_,2021-12-20 17:09:11+00:00,1472977393115537411,0,1,0,Twitter Web App,2182,55,,0,en,@TheMoonCarl HOLD $DOGE $CATE $ADA,"['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'John Benedict Pal-lingayan: @TheMoonCarl HOLD $DOGE $CATE $ADA']",1472277522108796931
SokkhengYen,2021-12-19 16:56:59+00:00,1472611932641406994,0,0,0,Twitter for iPhone,583,4,,0,en,@TheMoonCarl Baby Doge,"['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'kheng: @TheMoonCarl Baby Doge']",1472277522108796931
ZorobabelBerna2,2021-12-19 06:54:11+00:00,1472460234056769539,0,0,0,Twitter for Android,206,40,,0,en,"@TheMoonCarl Shin hold, fold doge","['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'Zorobabel Bernard: @TheMoonCarl Shin hold, fold doge']",1472277522108796931
OGalbadrah,2021-12-19 01:29:23+00:00,1472378493992587266,0,0,0,Twitter for Android,384,4,,0,en,@TheMoonCarl Always Doge,"['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'О. Галбадрах: @TheMoonCarl Always Doge']",1472277522108796931
PooriaOwner,2021-12-19 01:07:54+00:00,1472373088004227075,0,0,0,Twitter for Android,5,1,,0,en,@TheMoonCarl Magic.  Ada .Doge  for hold,"['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'Pooria: @TheMoonCarl Magic.  Ada .Doge  for hold']",1472277522108796931
JPCTTM,2021-12-18 22:29:19+00:00,1472333178979422211,0,0,0,Twitter for iPhone,3858,55,,0,en,@TheMoonCarl $doge is the one to hold,"['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'JP: @TheMoonCarl $doge is the one to hold']",1472277522108796931
beerlelarosado,2021-12-18 20:24:49+00:00,1472301850749775872,0,0,0,Twitter Web App,591,113,,0,en,@TheMoonCarl Doge and shib.,"['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'lela: @TheMoonCarl Doge and shib.']",1472277522108796931
Cryptod36403956,2021-12-18 20:23:29+00:00,1472301511766069255,1,0,0,Twitter for Android,2761,221,,0,en,@TheMoonCarl I would hold $DOGE and add $CVP to because of its ability to yield massively.,"['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'Ben Stone: @TheMoonCarl I would hold $DOGE and add $CVP to because of its ability to yield massively.']",1472277522108796931
abimbolamatem1,2021-12-18 19:21:15+00:00,1472285850402709513,2,0,0,Twitter for Android,445,21,,0,en,@TheMoonCarl Doge,"['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'ABI M BOLA: @TheMoonCarl Doge']",1472277522108796931
MillisNFTs,2021-12-18 18:50:19+00:00,1472278068169519111,0,1,0,Twitter for iPhone,759,23,,0,en,@TheMoonCarl Hold #SHIB FOLD #DOGE,"['Carl From The Moon: Chose one to HODL and one to FODL?  - $DOGE - $MCRT - $SHIB - $FEG - $KISHU - $CATE - $KASTA - $MATIC - $ADA  Let me know in the comments!  👇👇👇', 'McMill’s: @TheMoonCarl Hold #SHIB FOLD #DOGE']",1472277522108796931
JayKish71519041,2021-12-19 15:58:38+00:00,1472597249540587524,0,0,0,Twitter for Android,149,2,,0,en,@realLloydO Same pinch.. Doge or bit,"['Lloyd 🇺🇦🇺🇦🇺🇦 Ostertag: Still holding all my $DOGE', 'JayKishan Verma: @realLloydO Same pinch.. Doge or bit']",1472276141100580864
Jeremia10259441,2021-12-19 19:58:35+00:00,1472657633429569540,0,0,0,Twitter for Android,658,17,,0,en,@Adogeworld @akaCurt 99% doge. SEE I'M DIVERSIFIED! lol,"['Doge soldier7: I’m holding  #dogecoin ,doge father will take us to the moon https://t.co/HdiD1ke8km', ""Jeremiah Hunter: @Adogeworld @akaCurt 99% doge. SEE I'M DIVERSIFIED! lol""]",1472274722968670208
dogeofficialceo,2021-12-19 06:15:27+00:00,1472450487870013441,5,1,1,Twitter for iPhone,56271,89186,,0,en,@Adogeworld My first doge meme ever,"['Doge soldier7: I’m holding  #dogecoin ,doge father will take us to the moon https://t.co/HdiD1ke8km', 'Sir Doge of the Coin ⚔️: @Adogeworld My first doge meme ever']",1472274722968670208
Vanesseart,2021-12-23 06:55:00+00:00,1473909991539200001,0,0,0,Twitter for Android,22,0,,0,en,@Crypto__emily Saitama or surge or baby doge or shiro inu or Shinja,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'Vanesse Smal: @Crypto__emily Saitama or surge or baby doge or shiro inu or Shinja']",1472272667000463360
PramodY44678650,2021-12-20 16:09:47+00:00,1472962444817428480,0,0,0,Twitter for Android,89,12,,0,en,@Crypto__emily Baby doge,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'Pramod Yadav: @Crypto__emily Baby doge']",1472272667000463360
Aradoox,2021-12-20 15:55:29+00:00,1472958846436007941,0,0,0,Twitter Web App,68,16,,0,en,@Crypto__emily #baby Doge🔥🔥,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'Arad radmnsh: @Crypto__emily #baby Doge🔥🔥']",1472272667000463360
msshafalibegom,2021-12-20 05:55:06+00:00,1472807751604596738,0,0,0,Twitter Web App,1217,134,,0,en,@Crypto__emily Baby doge coin,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'NASEEM KHAN Web3camp: @Crypto__emily Baby doge coin']",1472272667000463360
TonyMask,2021-12-19 19:09:20+00:00,1472645241794666497,0,0,0,Twitter for iPhone,288,13,,0,en,@Crypto__emily Baby doge,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'Tony mask: @Crypto__emily Baby doge']",1472272667000463360
TisSpring,2021-12-19 16:07:19+00:00,1472599432810180624,0,0,0,Twitter Web App,4539,170,,0,en,@Crypto__emily Doge again,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'Tis like a morning spring: @Crypto__emily Doge again']",1472272667000463360
CryptoJungleG,2021-12-19 15:51:19+00:00,1472595407159140359,0,0,0,Twitter Web App,345,17,,0,en,@Crypto__emily $CINU - Cheems Inu  It's going to be bigger than SHIB and DOGE,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', ""Guillaume of the Jungle: @Crypto__emily $CINU - Cheems Inu  It's going to be bigger than SHIB and DOGE""]",1472272667000463360
pep0tto,2021-12-19 13:51:14+00:00,1472565187706335232,0,0,0,Twitter for iPhone,15563,2205,,0,en,@Crypto__emily 2013 doge?,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'pepeᵍᵐ.eth: @Crypto__emily 2013 doge?']",1472272667000463360
JeffT8222,2021-12-19 13:28:28+00:00,1472559460862283776,0,0,0,Twitter for iPhone,335,53,,0,en,@Crypto__emily XYO it’s better than Doge because it has a limited supply.,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'JeffT: @Crypto__emily XYO it’s better than Doge because it has a limited supply.']",1472272667000463360
bEgZWbnMpOyTv0D,2021-12-19 13:17:09+00:00,1472556610681724928,0,0,0,Twitter for Android,102,9,,0,en,@Crypto__emily Baby doge,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'معصوم: @Crypto__emily Baby doge']",1472272667000463360
louistyeworld,2021-12-19 13:09:45+00:00,1472554749656510465,0,0,0,Twitter for Android,168,7,,0,en,@Crypto__emily The second coming of doge,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'dreams: @Crypto__emily The second coming of doge']",1472272667000463360
Lazy1030,2021-12-19 12:22:46+00:00,1472542924080828420,0,0,0,Twitter for Android,1236,74,,0,en,@Crypto__emily people help people，people to the moon.$people $shib $doge,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'Tommy(🌜,🌛): @Crypto__emily people help people，people to the moon.$people $shib $doge']",1472272667000463360
EX2n3,2021-12-19 12:13:09+00:00,1472540505296695299,12,0,5,Twitter for iPhone,26775,413,,0,en,@Crypto__emily #DogemonGo  I LOVE #DogemonGo $DOGO AND #Dogecoin $DOGE !!!!!!!!! THE WORLD WILL BE CHANGED BY THESE 2 GENIUS IDEAS!!!!!!!!! ❤️❤️❤️🚀🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕 https://t.co/VoDwJHvmqQ,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', '#XEN: @Crypto__emily #DogemonGo  I LOVE #DogemonGo $DOGO AND #Dogecoin $DOGE !!!!!!!!! THE WORLD WILL BE CHANGED BY THESE 2 GENIUS IDEAS!!!!!!!!! ❤️❤️❤️🚀🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕 https://t.co/VoDwJHvmqQ']",1472272667000463360
Rajiv44341755,2021-12-19 11:45:12+00:00,1472533470085664771,0,0,0,Twitter for Android,275,7,,0,en,@Crypto__emily Doge,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'Rajiv: @Crypto__emily Doge']",1472272667000463360
mane_doge,2021-12-19 11:15:17+00:00,1472525942505488387,0,0,0,Twitter for iPhone,3247,32,,0,en,@Crypto__emily Cliff Inu,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'Sophia: @Crypto__emily Cliff Inu']",1472272667000463360
DogedashTr,2021-12-19 10:17:39+00:00,1472511437234921477,5,0,0,Twitter for Android,723,118,,0,en,"@Crypto__emily @doge_dash for sure. It is so promising project. The founder @CaslinPaul and the team delivers. I really missed on Doge, eth, xrp and bnb. This time i will keep it at least until i see 1$","['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'SonOfElonMusk.eth: @Crypto__emily @doge_dash for sure. It is so promising project. The founder @CaslinPaul and the team delivers. I really missed on Doge, eth, xrp and bnb. This time i will keep it at least until i see 1$']",1472272667000463360
DanO37088867,2021-12-19 08:33:26+00:00,1472485209937375233,0,0,0,Twitter for Android,20043,3247,,0,en,@Crypto__emily Doge again!,"['Emily’s Universe 💎: In 2012 you missed #BTC\xa0\xa0 In 2013 you missed #DOGE In 2014 you missed #XRP In 2015 you missed #ETH In 2016 you missed #ADA In 2017 you missed #BNB\xa0\xa0 In 2018 you missed #LINK In 2019 you missed #DOT In 2020 you missed #SHIB In 2021  don’t miss______________', 'DanO: @Crypto__emily Doge again!']",1472272667000463360
