time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-03T00:00:00.0000000Z,2021-02-03T00:15:00.0000000Z,2021-02-03T00:00:00.0480000Z,2021-02-03T00:14:59.6060000Z,0.0313489,0.031832,0.031238,0.0316062,46385828,3803
2021-02-03T00:15:00.0000000Z,2021-02-03T00:30:00.0000000Z,2021-02-03T00:15:01.4770000Z,2021-02-03T00:29:59.3640000Z,0.0315715,0.0321836,0.0315715,0.0321173,53216005,4056
2021-02-03T00:30:00.0000000Z,2021-02-03T00:45:00.0000000Z,2021-02-03T00:30:00.0940000Z,2021-02-03T00:44:59.3810000Z,0.0321173,0.0325,0.0318346,0.0323023,96356777,6371
2021-02-03T00:45:00.0000000Z,2021-02-03T01:00:00.0000000Z,2021-02-03T00:45:00.2520000Z,2021-02-03T00:59:59.8950000Z,0.0323267,0.034,0.0322961,0.0332599,255438161,15716
2021-02-03T01:00:00.0000000Z,2021-02-03T01:15:00.0000000Z,2021-02-03T01:00:00.2750000Z,2021-02-03T01:14:59.5290000Z,0.0332769,0.0339236,0.032874,0.0335503,192537627,11190
2021-02-03T01:15:00.0000000Z,2021-02-03T01:30:00.0000000Z,2021-02-03T01:15:00.2300000Z,2021-02-03T01:29:59.8800000Z,0.0335802,0.0338499,0.0326022,0.032666,152619615,8483
2021-02-03T01:30:00.0000000Z,2021-02-03T01:45:00.0000000Z,2021-02-03T01:30:00.1110000Z,2021-02-03T01:44:59.8410000Z,0.0326619,0.0332996,0.0326552,0.032836,90452281,6114
2021-02-03T01:45:00.0000000Z,2021-02-03T02:00:00.0000000Z,2021-02-03T01:45:00.6940000Z,2021-02-03T01:59:59.9810000Z,0.0328254,0.0339,0.0324041,0.0330159,118354349,6921
2021-02-03T02:00:00.0000000Z,2021-02-03T02:15:00.0000000Z,2021-02-03T02:00:00.5000000Z,2021-02-03T02:14:59.9890000Z,0.0330171,0.033051,0.0325635,0.032618,51080240,3183
2021-02-03T02:15:00.0000000Z,2021-02-03T02:30:00.0000000Z,2021-02-03T02:15:00.0340000Z,2021-02-03T02:29:59.9550000Z,0.032624,0.032992,0.0324444,0.03255,108739925,5741
2021-02-03T02:30:00.0000000Z,2021-02-03T02:45:00.0000000Z,2021-02-03T02:30:00.0320000Z,2021-02-03T02:44:58.5110000Z,0.0325494,0.03282,0.0322768,0.032732,55278071,3816
2021-02-03T02:45:00.0000000Z,2021-02-03T03:00:00.0000000Z,2021-02-03T02:45:01.8660000Z,2021-02-03T02:59:59.8260000Z,0.032736,0.0333333,0.0324468,0.0331782,97283063,6718
2021-02-03T03:00:00.0000000Z,2021-02-03T03:15:00.0000000Z,2021-02-03T03:00:00.4780000Z,2021-02-03T03:14:59.8760000Z,0.0331784,0.0334972,0.0327779,0.0334636,104903270,7191
2021-02-03T03:15:00.0000000Z,2021-02-03T03:30:00.0000000Z,2021-02-03T03:15:00.3450000Z,2021-02-03T03:29:59.5830000Z,0.0334443,0.0335,0.033018,0.0331428,58588839,4119
2021-02-03T03:30:00.0000000Z,2021-02-03T03:45:00.0000000Z,2021-02-03T03:30:00.1900000Z,2021-02-03T03:44:59.9960000Z,0.03315,0.0333449,0.032987,0.033023,43484401,2950
2021-02-03T03:45:00.0000000Z,2021-02-03T04:00:00.0000000Z,2021-02-03T03:45:00.5180000Z,2021-02-03T03:59:59.0370000Z,0.033037,0.0333449,0.0329562,0.0332082,63061195,3675
2021-02-03T04:00:00.0000000Z,2021-02-03T04:15:00.0000000Z,2021-02-03T04:00:00.1060000Z,2021-02-03T04:14:59.6640000Z,0.0332101,0.0334107,0.0325,0.0331669,130263146,8795
2021-02-03T04:15:00.0000000Z,2021-02-03T04:30:00.0000000Z,2021-02-03T04:15:00.3490000Z,2021-02-03T04:29:58.9690000Z,0.0331914,0.0336999,0.0327791,0.0328621,91574540,7027
2021-02-03T04:30:00.0000000Z,2021-02-03T04:45:00.0000000Z,2021-02-03T04:30:01.2340000Z,2021-02-03T04:44:59.8850000Z,0.0328534,0.0330888,0.0327,0.0328555,49012979,3638
2021-02-03T04:45:00.0000000Z,2021-02-03T05:00:00.0000000Z,2021-02-03T04:45:01.0100000Z,2021-02-03T04:59:58.6700000Z,0.0328575,0.032931,0.0326369,0.0328906,37573717,2905
2021-02-03T05:00:00.0000000Z,2021-02-03T05:15:00.0000000Z,2021-02-03T05:00:00.1040000Z,2021-02-03T05:14:59.1050000Z,0.0328644,0.0330497,0.0328002,0.0329569,39941660,2798
2021-02-03T05:15:00.0000000Z,2021-02-03T05:30:00.0000000Z,2021-02-03T05:15:00.5700000Z,2021-02-03T05:29:59.1150000Z,0.0329567,0.03298,0.032768,0.032877,23550662,1976
2021-02-03T05:30:00.0000000Z,2021-02-03T05:45:00.0000000Z,2021-02-03T05:30:01.7850000Z,2021-02-03T05:44:59.9800000Z,0.0328715,0.0328999,0.0324319,0.0325643,52712973,3456
2021-02-03T05:45:00.0000000Z,2021-02-03T06:00:00.0000000Z,2021-02-03T05:45:00.0190000Z,2021-02-03T05:59:59.6260000Z,0.03256,0.032758,0.0324215,0.0324363,50008311,2998
