time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-07T00:00:00.0000000Z,2021-02-07T00:15:00.0000000Z,2021-02-07T00:00:00.2840000Z,2021-02-07T00:14:59.8030000Z,0.0576579,0.0582,0.0561596,0.0569211,260722052,17183
2021-02-07T00:15:00.0000000Z,2021-02-07T00:30:00.0000000Z,2021-02-07T00:15:00.1490000Z,2021-02-07T00:29:59.9700000Z,0.0569359,0.0578387,0.0563479,0.0578322,198692853,13020
2021-02-07T00:30:00.0000000Z,2021-02-07T00:45:00.0000000Z,2021-02-07T00:30:00.0570000Z,2021-02-07T00:44:59.9480000Z,0.05783,0.0593271,0.0574911,0.0591956,382976698,26099
2021-02-07T00:45:00.0000000Z,2021-02-07T01:00:00.0000000Z,2021-02-07T00:45:00.3540000Z,2021-02-07T00:59:59.8940000Z,0.0591864,0.0598312,0.0585714,0.0598031,369910761,23838
2021-02-07T01:00:00.0000000Z,2021-02-07T01:15:00.0000000Z,2021-02-07T01:00:00.0510000Z,2021-02-07T01:14:59.9990000Z,0.0598307,0.06565,0.0592613,0.0609368,1308797943,86132
2021-02-07T01:15:00.0000000Z,2021-02-07T01:30:00.0000000Z,2021-02-07T01:15:00.0060000Z,2021-02-07T01:29:59.9630000Z,0.0609369,0.064,0.0606425,0.0630535,821890801,55695
2021-02-07T01:30:00.0000000Z,2021-02-07T01:45:00.0000000Z,2021-02-07T01:30:00.0690000Z,2021-02-07T01:44:59.9790000Z,0.0630627,0.0636999,0.0611107,0.062986,646822179,43152
2021-02-07T01:45:00.0000000Z,2021-02-07T02:00:00.0000000Z,2021-02-07T01:45:00.0050000Z,2021-02-07T01:59:59.9590000Z,0.0629927,0.06355,0.0572,0.0589143,771294880,52378
2021-02-07T02:00:00.0000000Z,2021-02-07T02:15:00.0000000Z,2021-02-07T02:00:00.0080000Z,2021-02-07T02:14:59.9570000Z,0.0589162,0.0599498,0.055,0.056659,914920129,54788
2021-02-07T02:15:00.0000000Z,2021-02-07T02:30:00.0000000Z,2021-02-07T02:15:00.1870000Z,2021-02-07T02:29:59.9380000Z,0.0566625,0.0571693,0.0536095,0.0570746,701506877,42802
