time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-05-06T00:00:00.0000000Z,2022-05-06T00:15:00.0000000Z,2022-05-06T00:00:00.0750000Z,2022-05-06T00:14:59.2680000Z,82.34,83.05,82.22,82.63,30795.92,3591
2022-05-06T00:15:00.0000000Z,2022-05-06T00:30:00.0000000Z,2022-05-06T00:15:01.2000000Z,2022-05-06T00:29:59.4780000Z,82.62,82.92,82.58,82.59,16684.81,1764
2022-05-06T00:30:00.0000000Z,2022-05-06T00:45:00.0000000Z,2022-05-06T00:30:01.1250000Z,2022-05-06T00:44:58.9010000Z,82.58,82.59,82.16,82.28,24849.45,2556
2022-05-06T00:45:00.0000000Z,2022-05-06T01:00:00.0000000Z,2022-05-06T00:45:00.5870000Z,2022-05-06T00:59:59.2340000Z,82.27,82.33,81.21,81.77,68229.3,7381
2022-05-06T01:00:00.0000000Z,2022-05-06T01:15:00.0000000Z,2022-05-06T01:00:00.0870000Z,2022-05-06T01:14:59.4520000Z,81.76,82.1,81.46,81.59,52756.11,4156
2022-05-06T01:15:00.0000000Z,2022-05-06T01:30:00.0000000Z,2022-05-06T01:15:00.6550000Z,2022-05-06T01:29:59.3670000Z,81.61,81.94,80.97,81.01,50465.37,4641
2022-05-06T01:30:00.0000000Z,2022-05-06T01:45:00.0000000Z,2022-05-06T01:30:00.0460000Z,2022-05-06T01:44:56.3710000Z,81.01,81.21,80.89,81.16,24578.21,2342
2022-05-06T01:45:00.0000000Z,2022-05-06T02:00:00.0000000Z,2022-05-06T01:45:00.1990000Z,2022-05-06T01:59:59.7180000Z,81.17,81.34,80.84,80.91,22290.72,2092
2022-05-06T02:00:00.0000000Z,2022-05-06T02:15:00.0000000Z,2022-05-06T02:00:00.9680000Z,2022-05-06T02:14:58.4140000Z,80.91,81.47,80.79,81.27,26820.93,2501
2022-05-06T02:15:00.0000000Z,2022-05-06T02:30:00.0000000Z,2022-05-06T02:15:00.2740000Z,2022-05-06T02:29:58.2590000Z,81.27,81.57,81.2,81.48,29605.51,3379
2022-05-06T02:30:00.0000000Z,2022-05-06T02:45:00.0000000Z,2022-05-06T02:30:01.9780000Z,2022-05-06T02:44:55.2260000Z,81.48,81.58,81.41,81.47,16506.89,1919
2022-05-06T02:45:00.0000000Z,2022-05-06T03:00:00.0000000Z,2022-05-06T02:45:00.6290000Z,2022-05-06T02:59:59.9560000Z,81.47,81.55,81.03,81.1,26238.98,2432
2022-05-06T03:00:00.0000000Z,2022-05-06T03:15:00.0000000Z,2022-05-06T03:00:00.4200000Z,2022-05-06T03:14:58.0980000Z,81.11,81.19,80.78,80.84,19105.67,2186
2022-05-06T03:15:00.0000000Z,2022-05-06T03:30:00.0000000Z,2022-05-06T03:15:01.3150000Z,2022-05-06T03:29:45.9160000Z,80.84,80.89,80.65,80.77,16677.29,2171
