time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-22T00:00:00.0000000Z,2021-08-22T00:15:00.0000000Z,2021-08-22T00:00:00.9540000Z,2021-08-22T00:14:59.5570000Z,8.13e-06,8.19e-06,8.12e-06,8.15e-06,71358861537,1526
2021-08-22T00:15:00.0000000Z,2021-08-22T00:30:00.0000000Z,2021-08-22T00:15:02.3160000Z,2021-08-22T00:29:54.1670000Z,8.15e-06,8.19e-06,8.12e-06,8.17e-06,43906369741,1085
2021-08-22T00:30:00.0000000Z,2021-08-22T00:45:00.0000000Z,2021-08-22T00:30:00.9940000Z,2021-08-22T00:44:59.2520000Z,8.17e-06,8.19e-06,8.15e-06,8.17e-06,38617008014,980
2021-08-22T00:45:00.0000000Z,2021-08-22T01:00:00.0000000Z,2021-08-22T00:45:00.6680000Z,2021-08-22T00:59:59.6220000Z,8.17e-06,8.18e-06,8.13e-06,8.17e-06,55768664732,1362
2021-08-22T01:00:00.0000000Z,2021-08-22T01:15:00.0000000Z,2021-08-22T01:00:01.6230000Z,2021-08-22T01:14:59.7140000Z,8.17e-06,8.17e-06,8.12e-06,8.13e-06,77457810396,1650
2021-08-22T01:15:00.0000000Z,2021-08-22T01:30:00.0000000Z,2021-08-22T01:15:02.4510000Z,2021-08-22T01:29:59.1500000Z,8.13e-06,8.21e-06,8.13e-06,8.21e-06,45095629883,1133
2021-08-22T01:30:00.0000000Z,2021-08-22T01:45:00.0000000Z,2021-08-22T01:30:03.0840000Z,2021-08-22T01:44:55.8600000Z,8.2e-06,8.24e-06,8.2e-06,8.22e-06,53039645625,1410
2021-08-22T01:45:00.0000000Z,2021-08-22T02:00:00.0000000Z,2021-08-22T01:45:00.8030000Z,2021-08-22T01:59:59.9640000Z,8.22e-06,8.23e-06,8.2e-06,8.22e-06,47400166817,1124
2021-08-22T02:00:00.0000000Z,2021-08-22T02:15:00.0000000Z,2021-08-22T02:00:00.6060000Z,2021-08-22T02:14:59.9290000Z,8.21e-06,8.23e-06,8.2e-06,8.21e-06,33689198842,786
2021-08-22T02:15:00.0000000Z,2021-08-22T02:30:00.0000000Z,2021-08-22T02:15:00.8650000Z,2021-08-22T02:29:58.2770000Z,8.21e-06,8.22e-06,8.15e-06,8.17e-06,38169591759,1111
2021-08-22T02:30:00.0000000Z,2021-08-22T02:45:00.0000000Z,2021-08-22T02:30:02.2840000Z,2021-08-22T02:44:59.9130000Z,8.17e-06,8.17e-06,8.13e-06,8.15e-06,60178022677,1478
2021-08-22T02:45:00.0000000Z,2021-08-22T03:00:00.0000000Z,2021-08-22T02:45:00.3750000Z,2021-08-22T02:59:58.4270000Z,8.14e-06,8.17e-06,8.14e-06,8.16e-06,29280747013,760
2021-08-22T03:00:00.0000000Z,2021-08-22T03:15:00.0000000Z,2021-08-22T03:00:01.5120000Z,2021-08-22T03:14:58.9060000Z,8.16e-06,8.17e-06,8.14e-06,8.15e-06,28896052451,922
2021-08-22T03:15:00.0000000Z,2021-08-22T03:30:00.0000000Z,2021-08-22T03:15:01.9910000Z,2021-08-22T03:29:56.0510000Z,8.15e-06,8.16e-06,8.12e-06,8.12e-06,30950528490,848
